id_cliente,nome,idade,sexo,cor,casado,qt_filhos,cidade,renda,qt_carros,qt_cart_cred,casa_propria,credit_score,endivid,trabalha,Conta Corrente Plus,Cart�o Platinum,Seguro Residencial,Cr�dito Pessoal Flex,Investimento Renda Fixa
1,João Rodrigues,33,M,Parda,Sim,0,Brasília,65580,3,0,Sim,395,14328,Sim,1,1,1,0,0
2,Fernando Gomes,35,M,Branca,Sim,3,Salvador,165684,1,1,Não,404,12156,Não,1,0,0,0,0
3,Luiz Santos,53,M,Preta,Não,4,Porto Alegre,56466,0,5,Sim,596,2614,Sim,0,0,1,0,1
4,Patrícia Rodrigues,62,F,Branca,Sim,4,Porto Alegre,105669,3,3,Não,524,44866,Não,0,0,0,1,1
5,Ana Souza,76,F,Indígena,Não,1,Fortaleza,227425,3,1,Não,442,32325,Não,1,1,0,1,0
6,Ricardo Pereira,23,M,Branca,Sim,1,Belo Horizonte,241333,0,3,Não,779,69352,Não,0,0,1,0,0
7,Beatriz Santos,36,F,Amarela,Sim,3,São Paulo,158091,1,4,Sim,605,66540,Sim,1,0,1,0,0
8,Eduardo Ferreira,49,M,Branca,Sim,2,Curitiba,145541,0,1,Sim,387,63699,Sim,0,0,1,0,0
9,Antônio Costa,73,M,Indígena,Não,1,Brasília,125461,2,3,Não,748,58957,Não,1,1,0,1,1
10,João Santos,63,M,Branca,Sim,0,São Paulo,193239,0,4,Sim,585,87684,Não,1,1,0,0,1
11,Amanda Souza,24,F,Branca,Não,2,Recife,235535,3,5,Sim,400,7944,Não,1,0,1,1,0
12,Luiz Oliveira,35,M,Amarela,Sim,0,Fortaleza,71332,0,5,Sim,395,15491,Sim,1,0,0,0,0
13,Luiz Rodrigues,77,M,Amarela,Não,3,Brasília,275155,1,1,Não,522,15331,Sim,1,1,0,0,0
14,João Costa,23,M,Parda,Sim,4,Rio de Janeiro,143314,3,0,Sim,340,10745,Não,1,0,1,1,0
15,Patrícia Rodrigues,43,F,Parda,Não,3,Salvador,58033,0,3,Sim,375,17617,Sim,1,1,1,1,1
16,Juliana Pereira,71,F,Indígena,Não,4,Brasília,24101,2,5,Sim,437,4333,Sim,0,0,1,1,1
17,Patrícia Rodrigues,50,F,Amarela,Não,0,Rio de Janeiro,242075,2,0,Sim,641,101072,Sim,1,1,0,1,1
18,Pedro Santos,78,M,Parda,Sim,2,Goiânia,97643,3,1,Sim,615,23897,Sim,0,1,1,1,0
19,Fernanda Oliveira,77,F,Parda,Sim,1,Recife,32995,1,5,Não,721,8131,Não,1,0,0,1,0
20,Fernando Ferreira,37,M,Parda,Sim,0,Porto Alegre,228910,2,2,Sim,585,46025,Não,1,0,1,1,0
21,Juliana Gomes,79,F,Preta,Sim,0,Goiânia,247836,2,5,Não,746,79457,Sim,1,1,0,0,1
22,Paulo Alves,22,M,Preta,Não,0,Curitiba,285878,2,5,Não,634,105486,Não,1,1,0,1,0
23,Eduardo Gomes,37,M,Amarela,Sim,2,Curitiba,130196,3,4,Não,776,28952,Não,1,0,0,0,0
24,Antônio Costa,60,M,Indígena,Não,0,Porto Alegre,182749,1,1,Sim,325,6057,Sim,0,0,0,0,0
25,Luiz Pereira,43,M,Parda,Sim,0,Rio de Janeiro,242899,1,1,Não,351,73060,Sim,0,1,1,0,1
26,Carolina Gomes,70,F,Indígena,Não,4,Fortaleza,103444,3,3,Não,553,41789,Não,1,0,0,1,1
27,Patrícia Rodrigues,39,F,Preta,Sim,1,Belo Horizonte,141247,3,5,Sim,519,8418,Não,1,0,1,1,1
28,Eduardo Alves,48,M,Branca,Não,2,Recife,239687,1,3,Sim,579,57125,Não,1,1,0,0,1
29,Juliana Gomes,52,F,Branca,Não,4,Goiânia,34209,0,5,Não,438,15128,Sim,1,0,0,1,0
30,Camila Alves,34,F,Branca,Não,0,Brasília,47307,2,1,Sim,341,1016,Sim,1,1,1,1,0
31,Fernando Rodrigues,67,M,Preta,Sim,4,Goiânia,80048,1,2,Sim,326,20444,Não,1,0,1,0,0
32,Antônio Gomes,69,M,Branca,Sim,2,Brasília,244593,2,0,Não,312,111355,Não,0,1,0,0,0
33,Luiz Oliveira,64,M,Indígena,Não,4,Brasília,273491,3,3,Não,630,64355,Sim,1,1,0,1,0
34,Maria Pereira,72,F,Preta,Sim,3,Porto Alegre,206030,2,2,Não,582,72848,Sim,1,1,0,0,1
35,Fernando Pereira,46,M,Branca,Sim,2,Porto Alegre,232022,1,2,Não,784,72544,Não,1,0,0,0,1
36,Patrícia Santos,64,F,Parda,Não,0,Brasília,117071,1,1,Não,583,47486,Não,0,0,0,1,1
37,Antônio Silva,80,M,Branca,Não,1,Fortaleza,73785,0,4,Não,780,31373,Não,1,0,0,0,1
38,Luiz Pereira,22,M,Indígena,Sim,1,Belo Horizonte,179297,0,1,Sim,726,79471,Sim,1,1,0,1,0
39,Camila Gomes,57,F,Branca,Sim,1,Porto Alegre,158750,0,1,Sim,477,72350,Sim,1,1,0,0,1
40,Camila Pereira,22,F,Parda,Não,4,Porto Alegre,242895,0,4,Sim,452,119067,Não,0,1,1,1,0
41,Carolina Santos,47,F,Preta,Não,2,Brasília,278890,3,0,Sim,742,84494,Não,1,1,0,0,1
42,Antônio Gomes,20,M,Parda,Não,4,Fortaleza,165834,1,4,Não,803,11959,Não,1,1,0,0,1
43,Camila Alves,70,F,Indígena,Sim,3,Rio de Janeiro,184897,2,2,Sim,713,67449,Sim,1,1,1,1,1
44,Carolina Silva,31,F,Preta,Sim,2,Fortaleza,274128,0,0,Sim,462,81461,Sim,1,1,0,0,0
45,Carlos Pereira,77,M,Preta,Não,3,Fortaleza,267579,1,3,Sim,692,49967,Sim,0,1,0,1,0
46,Maria Rodrigues,64,F,Preta,Não,1,Fortaleza,273934,2,2,Não,766,84352,Sim,0,1,0,0,1
47,Carolina Alves,42,F,Parda,Não,0,Belo Horizonte,283345,2,0,Não,402,137874,Não,1,1,0,0,1
48,Beatriz Gomes,62,F,Amarela,Sim,2,Brasília,219234,2,5,Não,336,80931,Sim,1,0,0,1,1
49,Pedro Pereira,28,M,Preta,Sim,0,Salvador,49422,2,2,Não,741,4770,Sim,1,0,0,1,1
50,Fernanda Souza,49,F,Indígena,Sim,1,Fortaleza,153157,3,2,Sim,776,37700,Sim,1,0,0,1,0
51,Carolina Rodrigues,30,F,Amarela,Não,0,Porto Alegre,219944,2,4,Não,602,2875,Não,1,1,0,0,1
